0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
EHD1,MIAT,RN7SL1,RPL3,,ABHD14A,CD22,LBH,GBP3,ECE1,,,ZNF44,RP11-403I13.8,,GSN,,PNRC2,HELB,
IL1A,SLFN12L,OXCT1,RPL34,,DHRS1,LL22NC03-2H8.5,EPB41L4A-AS1,INHBA,ABCA5,,,FAM175A,RP11-1000B6.3,,NCF2,,MRPL53,TAF4B,
CCL23,C9orf156,PKIA,RPL14,,RGS14,P2RX5,CD27,OAS2,TBC1D4,,,PITPNA-AS1,NAALADL1,,TIMP1,,SLC18B1,GRPEL2,
SERPINE1,ITGA1,CENPK,RPL36,,SKI,CDCA7L,TUBA4A,RSAD2,CCDC28B,,,RAPGEF6,RP11-485G4.2,,NCF1,,,,
SLC16A10,TBCD,TNF,RPL24,,FAM53B,HSH2D,BIN1,F3,ADARB1,,,FST,HES6,,BLVRB,,,,
MAP3K4,GLCCI1,POLR1E,RPS6,,,ZNF107,SVIP,HERC5,TBC1D10A,,,EPHX2,TTC38,,FBP1,,,,
RP11-214O1.3,CAMK2N1,PTTG1,RPS4X,,,PHACTR1,BCL11B,IFI44L,AGK,,,SERINC5,CTSF,,PLA2G7,,,,
ABCG1,SLA2,CDCA4,RPL27,,,TCF3,RHOH,HCAR3,KIAA0922,,,AKTIP,,,PLD3,,,,
ADM,RP11-356I2.4,DNMT3A,RPL38,,,LHPP,ARHGAP15,ALDH1A1,CBWD3,,,GRAP,,,PLEK,,,,
,PRR5L,SACS,GNB2L1,,,DGKD,EPB41,HSD11B1,ZDHHC13,,,CSGALNACT1,,,S100A8,,,,
,MIB2,C12orf29,RPS3,,,DENND3,CD96,NLRC5,L3MBTL4,,,ADPRM,,,CYP27A1,,,,
,F2R,AHI1,RPL7,,,GNB5,PLAC8,APOBEC3A,IL23A,,,RP11-664D1.1,,,ALDH2,,,,
,DLGAP1-AS1,ACYP1,RPL10A,,,RP11-796E2.4,ZCCHC11,ERAP2,,,,SLC7A6,,,CLEC7A,,,,
,KIF21A,TRAF4,RPS21,,,MARCH3,ADD3,PHLDA2,,,,RP1-187B23.1,,,PTPRE,,,,
,ZBP1,GLMN,RPL5,,,MGAT5,RP11-640M9.1,TMEM140,,,,HABP4,,,LIPA,,,,
,AUTS2,DHFR,RPLP0,,,RABEP2,CLEC2D,IFI44,,,,GPC2,,,TUBA1A,,,,
,TPRG1,ASNS,RPS5,,,AIM2,SLC38A1,TAGAP,,,,IGF1R,,,MAFB,,,,
,STAG3,WDR76,RPSA,,,ZNF439,COA1,P2RY14,,,,SGK223,,,CXCL16,,,,
,PIK3CG,FUT8,RPS10,,,ANKAR,ANXA2R,RHOBTB3,,,,S100B,,,FGL2,,,,
,A2M-AS1,ALKBH2,EEF1B2,,,MICAL3,SEPT1,IFIT1,,,,RP11-421L21.3,,,NINJ1,,,,
,MXRA7,LAG3,NPM1,,,EFHC1,CASP8,RTP4,,,,TTC9,,,SGK1,,,,
,KLHDC4,TRMU,PABPC1,,,,PDE3B,DDX58,,,,MPP6,,,MMP9,,,,
,APOBEC3D,SLC27A5,RPL31,,,,TTC39C,HCAR2,,,,RP11-304L19.5,,,PLAUR,,,,
,RP11-47L3.1,BAG2,HNRNPA1,,,,RORA,,,,,LMO7,,,ZFYVE16,,,,
,PPP1R16B,SLAMF1,BTG1,,,,IL16,,,,,PDCD4-AS1,,,RP11-1143G9.4,,,,
,RP3-395M20.12,TRMT11,GLTSCR2,,,,TNFRSF25,,,,,PLEKHB1,,,HSPA1A,,,,
,SMARCD3,KRI1,,,,,ITM2A,,,,,ZNF563,,,TGFBI,,,,
,PERP,MMS22L,,,,,NCK2,,,,,HSF2,,,TNFAIP2,,,,
,LLGL2,GTPBP3,,,,,OGT,,,,,CTA-29F11.1,,,JUN,,,,
,SLAMF6,HIVEP3,,,,,TTC19,,,,,CRTAM,,,PDE4DIP,,,,
,,RBL1,,,,,FAM102A,,,,,SLC40A1,,,FPR3,,,,
,,IL12RB1,,,,,PBXIP1,,,,,MORC2-AS1,,,BHLHE41,,,,
,,FAM216A,,,,,C12orf65,,,,,,,,MGST1,,,,
,,AGMAT,,,,,PRKCH,,,,,,,,MS4A7,,,,
,,UNG,,,,,ITGA4,,,,,,,,IFI30,,,,
,,NEDD9,,,,,CD6,,,,,,,,CSTA,,,,
,,NR4A1,,,,,ZNF101,,,,,,,,TMEM176B,,,,
,,ORC2,,,,,SKAP1,,,,,,,,DUSP6,,,,
,,RRAS2,,,,,RASGRP1,,,,,,,,RDX,,,,
,,EPS8L2,,,,,SUSD3,,,,,,,,TFRC,,,,
,,AC016831.7,,,,,OPTN,,,,,,,,LGALS2,,,,
,,GFI1,,,,,ODF2L,,,,,,,,TMEM176A,,,,
,,TMEM14A,,,,,RASAL3,,,,,,,,FCGR2B,,,,
,,HLTF,,,,,DENND2D,,,,,,,,CLEC5A,,,,
,,CENPM,,,,,FKBP11,,,,,,,,,,,,
,,PGM1,,,,,PITPNC1,,,,,,,,,,,,
,,GNPDA2,,,,,PPP1R35,,,,,,,,,,,,
,,AGO2,,,,,OFD1,,,,,,,,,,,,
,,SASS6,,,,,ZC3H8,,,,,,,,,,,,
,,MIR29A,,,,,DEF6,,,,,,,,,,,,
,,PDCD2L,,,,,CREBZF,,,,,,,,,,,,
,,C1orf109,,,,,DGKA,,,,,,,,,,,,
,,WRN,,,,,PDE7A,,,,,,,,,,,,
,,PARD6A,,,,,SYNE1,,,,,,,,,,,,
,,STK39,,,,,MLLT3,,,,,,,,,,,,
,,CCDC34,,,,,SELM,,,,,,,,,,,,
,,CARD11,,,,,CHD3,,,,,,,,,,,,
,,BLM,,,,,CYFIP2,,,,,,,,,,,,
,,TUBGCP4,,,,,BEX2,,,,,,,,,,,,
,,TCTEX1D2,,,,,ITK,,,,,,,,,,,,
,,PMS2,,,,,ZNF721,,,,,,,,,,,,
,,SLC12A2,,,,,SEMA4D,,,,,,,,,,,,
,,,,,,,ZNF302,,,,,,,,,,,,
,,,,,,,TC2N,,,,,,,,,,,,
,,,,,,,TMEM238,,,,,,,,,,,,
